trial_number,receive_time,node,ts,px,py,yaw,temp
1,1778095473.984022,1,33033,-0.397336,0.668508,0.142011,41.6
1,1778095474.1393611,1,33183,-0.406495,0.684272,0.143731,41.6
1,1778095474.3392656,1,33383,-0.418472,0.704864,0.145946,41.6
1,1778095474.7232301,1,33790,-0.443307,0.747407,0.150774,41.6
1,1778095474.879261,1,33933,-0.452336,0.762985,0.152347,41.6
1,1778095475.231726,1,34283,-0.474663,0.80068,0.156494,42.6
1,1778095475.3250701,1,34383,-0.481106,0.81161,0.157549,41.6
1,1778095476.9201534,1,35983,-0.589452,0.995734,0.17609,42.6
1,1778095480.9388413,1,39983,-0.091749,-0.014645,0.221744,42.6
1,1778095483.639225,1,42683,-0.129195,0.030703,0.25238,43.6
1,1778095483.7552474,1,42800,-0.131691,0.033581,0.253827,43.6
1,1778095483.8530843,1,42890,-0.133619,0.03571,0.254938,43.6
1,1778095484.248702,1,43283,-0.142798,0.045621,0.259494,43.6
1,1778095484.3008764,1,43335,-0.144121,0.047066,0.260172,43.6
1,1778095484.3497527,1,43383,-0.145202,0.048312,0.26062,43.6
1,1778095484.4161263,1,43483,-0.147507,0.051036,0.261669,43.6
1,1778095484.4936514,1,43533,-0.148853,0.052594,0.262222,43.6
1,1778095484.5159347,1,43583,-0.149722,0.053571,0.262633,43.6
1,1778095484.632183,1,43696,-0.153016,0.057278,0.264013,43.6
1,1778095484.7230017,1,43786,-0.155334,0.059906,0.264906,43.6
1,1778095485.0294416,1,44083,-0.163233,0.0687,0.268255,43.6
1,1778095485.1212234,1,44183,-0.165998,0.071939,0.269292,43.6
1,1778095485.2332752,1,44283,-0.168861,0.075095,0.270489,43.6
1,1778095485.92064,1,44983,-0.190297,0.099111,0.278352,43.6
1,1778095488.069066,1,47133,-0.270403,0.18889,0.302408,43.6
1,1778095491.7658572,1,50833,-0.442515,0.397044,0.343308,44.6
1,1778095497.3652549,1,56433,-0.77112,0.832391,0.405708,44.6
1,1778095500.5666714,1,59634,-1.003737,1.148112,0.442329,45.6
1,1778095502.584,1,61633,-1.167497,1.366295,0.464228,45.6
1,1778095515.069317,1,74136,-2.56212,3.053249,0.603513,46.6
1,1778095515.5269616,1,74586,-2.626216,3.122433,0.608492,46.6
1,1778095528.6663885,1,87733,0.022896,0.227777,0.75454,47.6
1,1778095530.7644365,1,89833,-0.027265,0.243562,0.778158,47.6
1,1778095532.4223144,1,91483,-0.079957,0.269642,0.797121,47.6
1,1778095540.4139893,1,99483,-0.577674,0.530369,0.891806,48.6
1,1778095540.9743283,1,100033,-0.627873,0.555182,0.898632,48.6
1,1778095541.0326984,1,100083,-0.633082,0.557788,0.899202,48.6
1,1778095541.2258341,1,100283,-0.651541,0.56682,0.90152,48.6
1,1778095541.3308692,1,100383,-0.661548,0.571647,0.902787,48.6
1,1778095541.3884401,1,100433,-0.66636,0.574052,0.903354,48.6
1,1778095541.420343,1,100483,-0.670707,0.576255,0.903815,48.6
1,1778095542.1666873,1,101234,-0.743906,0.612883,0.912826,48.6
1,1778095542.7637944,1,101833,-0.805182,0.643582,0.920601,48.6
1,1778095543.188904,1,102233,-0.846851,0.664412,0.925296,48.6
1,1778095543.2185066,1,102283,-0.852096,0.667004,0.925995,48.6
1,1778095543.5159166,1,102585,-0.884375,0.683179,0.929506,48.6
1,1778095544.4403174,1,103485,-0.982175,0.732617,0.940549,48.6
